"FECHA_SINTOMAS","n"
"2021-01-10","40051"
"2021-01-11","44799"
"2021-01-12","39084"
"2021-01-13","38652"
"2021-01-14","38010"
"2021-01-15","44780"
"2021-01-16","33339"
"2021-01-17","27636"
"2021-01-18","47105"
"2021-01-19","39799"
"2021-01-20","49466"
"2021-01-21","35142"
"2021-01-22","36732"
"2021-01-23","32493"
"2021-01-24","26126"
"2021-01-25","45316"
"2021-01-26","36458"
"2021-01-27","33530"
"2021-01-28","32876"
"2021-01-29","27880"
"2021-01-30","24840"
"2021-01-31","18518"
"2021-02-01","31954"
"2021-02-02","33331"
"2021-02-03","29257"
"2021-02-04","27436"
"2021-02-05","32338"
"2021-02-06","21975"
"2021-02-07","18000"
"2021-02-08","32710"
"2021-02-09","26014"
"2021-02-10","32058"
"2021-02-11","24590"
"2021-02-12","25103"
"2021-02-13","18343"
"2021-02-14","16274"
"2021-02-15","31399"
"2021-02-16","23661"
"2021-02-17","22443"
"2021-02-18","22848"
"2021-02-19","24025"
"2021-02-20","24749"
"2021-02-21","15210"
"2021-02-22","28005"
"2021-02-23","23584"
"2021-02-24","22970"
"2021-02-25","24537"
"2021-02-26","23113"
"2021-02-27","17330"
"2021-02-28","19987"
"2021-03-01","33055"
"2021-03-02","23408"
"2021-03-03","23710"
"2021-03-04","20553"
"2021-03-05","23959"
"2021-03-06","16892"
"2021-03-07","14467"
"2021-03-08","23907"
"2021-03-09","21872"
"2021-03-10","23037"
"2021-03-11","18126"
"2021-03-12","18261"
"2021-03-13","14556"
"2021-03-14","12814"
"2021-03-15","20169"
"2021-03-16","21298"
"2021-03-17","19650"
"2021-03-18","19239"
"2021-03-19","20206"
"2021-03-20","21484"
"2021-03-21","14189"
"2021-03-22","21737"
"2021-03-23","20048"
"2021-03-24","18179"
"2021-03-25","19684"
"2021-03-26","16764"
"2021-03-27","14561"
"2021-03-28","13446"
"2021-03-29","18017"
"2021-03-30","16916"
"2021-03-31","14381"
"2021-04-01","15803"
"2021-04-02","11892"
"2021-04-03","12971"
"2021-04-04","15709"
"2021-04-05","23696"
"2021-04-06","18737"
"2021-04-07","18312"
"2021-04-08","18622"
"2021-04-09","19351"
"2021-04-10","21764"
"2021-04-11","14335"
"2021-04-12","21927"
"2021-04-13","19587"
"2021-04-14","18342"
"2021-04-15","18819"
"2021-04-16","17410"
"2021-04-17","14018"
"2021-04-18","13864"
"2021-04-19","21481"
"2021-04-20","22440"
"2021-04-21","16577"
"2021-04-22","16109"
"2021-04-23","16051"
"2021-04-24","13261"
"2021-04-25","15367"
"2021-04-26","18899"
"2021-04-27","16067"
"2021-04-28","15045"
"2021-04-29","12525"
"2021-04-30","13357"
"2021-05-01","13724"
"2021-05-02","10951"
"2021-05-03","16737"
"2021-05-04","15326"
"2021-05-05","16303"
"2021-05-06","13566"
"2021-05-07","13303"
"2021-05-08","10591"
"2021-05-09","9706"
"2021-05-10","16659"
"2021-05-11","14533"
"2021-05-12","13272"
"2021-05-13","12445"
"2021-05-14","12822"
"2021-05-15","13233"
"2021-05-16","10697"
"2021-05-17","16630"
"2021-05-18","15710"
"2021-05-19","13483"
"2021-05-20","15441"
"2021-05-21","12975"
"2021-05-22","10945"
"2021-05-23","10681"
"2021-05-24","15204"
"2021-05-25","14968"
"2021-05-26","12150"
"2021-05-27","11497"
"2021-05-28","13022"
"2021-05-29","9432"
"2021-05-30","11057"
"2021-05-31","14387"
"2021-06-01","15832"
"2021-06-02","11920"
"2021-06-03","11239"
"2021-06-04","12779"
"2021-06-05","12187"
"2021-06-06","11791"
"2021-06-07","15683"
"2021-06-08","14560"
"2021-06-09","14015"
"2021-06-10","15491"
"2021-06-11","13529"
"2021-06-12","11878"
"2021-06-13","11871"
"2021-06-14","17821"
"2021-06-15","17265"
"2021-06-16","15952"
"2021-06-17","14718"
"2021-06-18","16586"
"2021-06-19","14840"
"2021-06-20","18534"
"2021-06-21","19758"
"2021-06-22","19310"
"2021-06-23","18317"
"2021-06-24","17755"
"2021-06-25","19632"
"2021-06-26","16303"
"2021-06-27","16234"
"2021-06-28","22993"
"2021-06-29","19750"
"2021-06-30","20729"
"2021-07-01","25250"
"2021-07-02","22315"
"2021-07-03","20334"
"2021-07-04","21435"
"2021-07-05","32645"
"2021-07-06","28638"
